item_id,item_name,category,item_condition,starting_price,final_price,bids_count,auction_duration,status,predicted_final_price,seller
1,Item_1,Art,New,929,1300,6,6 Days,Completed,1303,Seller_1
2,Item_2,Mobiles,Used,495,723,11,5 Days,Completed,697,Seller_2
3,Item_3,Sports,Refurbished,676,1007,1,3 Days,Completed,1037,Seller_3
4,Item_4,Books,Refurbished,389,740,2,7 Days,Completed,780,Seller_4
5,Item_5,Fashion,Used,180,523,4,4 Days,Completed,547,Seller_5
6,Item_6,Gaming,New,637,703,20,3 Days,Completed,688,Seller_6
7,Item_7,Electronics,Used,676,1068,9,3 Days,Completed,1050,Seller_7
8,Item_8,Art,New,838,1204,13,7 Days,Completed,1162,Seller_1
9,Item_9,Electronics,Used,676,1122,13,1 Days,Completed,1072,Seller_7
10,Item_10,Electronics,Used,638,1010,14,2 Days,Completed,1007,Seller_7
11,Item_11,Jewelry,Refurbished,160,619,9,4 Days,Completed,575,Seller_8
12,Item_12,Jewelry,Refurbished,411,901,5,2 Days,Completed,901,Seller_8
13,Item_13,Mobiles,Refurbished,688,1011,8,4 Days,Completed,978,Seller_2
14,Item_14,Books,Refurbished,443,648,6,2 Days,Completed,617,Seller_4
15,Item_15,Art,New,165,375,20,1 Days,Completed,337,Seller_1
16,Item_16,Appliances,Used,820,1181,19,5 Days,Completed,1176,Seller_9
17,Item_17,Books,New,748,957,13,4 Days,Completed,946,Seller_4
18,Item_18,Books,Used,553,1027,12,5 Days,Completed,992,Seller_4
19,Item_19,Furniture,New,709,885,13,6 Days,Completed,887,Seller_10
20,Item_20,Jewelry,Refurbished,319,716,10,1 Days,Completed,733,Seller_8
21,Item_21,Art,Used,216,589,14,6 Days,Completed,623,Seller_1
22,Item_22,Electronics,Refurbished,136,487,12,1 Days,Completed,536,Seller_7
23,Item_23,Jewelry,New,782,1020,14,6 Days,Completed,982,Seller_8
24,Item_24,Mobiles,New,349,481,11,3 Days,Completed,511,Seller_2
25,Item_25,Jewelry,Used,945,1333,6,5 Days,Completed,1328,Seller_8
26,Item_26,Furniture,Used,595,894,12,7 Days,Completed,854,Seller_10
27,Item_27,Fashion,New,453,802,2,5 Days,Completed,756,Seller_5
28,Item_28,Books,Refurbished,268,631,15,4 Days,Completed,660,Seller_4
29,Item_29,Gaming,Used,104,236,15,6 Days,Completed,199,Seller_6
30,Item_30,Electronics,Refurbished,392,646,1,5 Days,Completed,648,Seller_7
31,Item_31,Books,New,362,808,2,4 Days,Completed,779,Seller_4
32,Item_32,Jewelry,Refurbished,369,818,14,1 Days,Completed,848,Seller_8
33,Item_33,Sports,New,215,271,7,4 Days,Completed,252,Seller_3
34,Item_34,Jewelry,Refurbished,127,330,13,5 Days,Completed,285,Seller_8
35,Item_35,Electronics,Refurbished,459,608,10,6 Days,Completed,574,Seller_7
36,Item_36,Jewelry,New,752,890,9,2 Days,Completed,841,Seller_8
37,Item_37,Art,New,718,1051,6,3 Days,Completed,1059,Seller_1
38,Item_38,Mobiles,Refurbished,395,588,4,4 Days,Completed,633,Seller_2
39,Item_39,Books,Refurbished,774,1018,17,3 Days,Completed,1017,Seller_4
40,Item_40,Jewelry,Used,236,394,14,3 Days,Completed,430,Seller_8
41,Item_41,Electronics,Refurbished,483,570,7,5 Days,Completed,580,Seller_7
42,Item_42,Appliances,Refurbished,353,420,5,7 Days,Completed,388,Seller_9
43,Item_43,Mobiles,New,388,766,11,5 Days,Completed,767,Seller_2
