item_id,item_name,category,item_condition,starting_price,final_price,bids_count,auction_duration,seller_rating,buyer_region
1,Leather Jacket,Clothing,2,399.73,2304.82,77,14,4.9,Australia
2,Smartwatch,Art,4,466.76,4332.42,81,35,3.9,Europe
3,4K Projector,Furniture,1,303.82,2517.5,19,42,2.8,North America
4,Espresso Machine,Clothing,4,264.29,1551.53,22,58,3.4,Asia
5,Desk Lamp,Jewelry,1,109.29,3704.58,56,33,2.5,Australia
6,Sneakers,Furniture,3,316.01,776.49,5,22,2.2,Africa
7,Backpack,Electronics,4,329.69,3181.67,7,68,2.1,Asia
8,Mountain Bike,Electronics,4,41.13,3590.52,44,8,4.3,South America
9,Electric Guitar,Jewelry,4,436.32,3000.31,43,39,2.6,Africa
10,Espresso Machine,Jewelry,3,436.14,2631.59,32,34,1.1,North America
11,Dog Bed,Art,1,419.51,2875.85,59,5,3.5,Australia
12,Fitness Tracker,Furniture,4,415.53,780.65,43,50,1.5,Europe
13,Desk Lamp,Furniture,2,427.89,3324.43,25,69,2.2,Europe
14,Wireless Headphones,Art,4,44.53,1818.25,61,57,2.1,North America
15,Laptop,Jewelry,2,154.39,835.89,76,27,1.1,South America
16,Collectible Coin,Clothing,4,367.91,1143.11,12,72,3.6,Asia
17,Luggage Set,Clothing,4,339.54,2305.88,86,45,4.1,Africa
18,Dining Table,Clothing,3,137.1,414.69,9,14,2.4,Australia
19,Collectible Coin,Books,2,306.58,3516.24,56,68,3.0,South America
20,Antique Vase,Furniture,1,492.78,4344.85,72,53,4.6,Africa
21,Antique Vase,Furniture,2,318.25,3699.21,38,8,3.4,Europe
22,Coffee Maker,Art,2,453.6,50.88,34,33,2.5,South America
23,Designer Handbag,Art,4,164.03,133.06,39,53,1.8,North America
24,Electric Guitar,Electronics,3,96.94,2925.88,35,72,4.6,Europe
25,Fitness Tracker,Art,1,84.91,20.91,31,52,4.4,Europe
26,Antique Vase,Clothing,3,10.47,3414.7,11,37,2.2,Australia
27,Diamond Ring,Art,4,299.89,3939.23,68,72,3.5,Asia
28,E-Reader,Books,4,173.29,2703.16,23,34,3.1,Asia
29,Designer Handbag,Jewelry,3,114.49,2559.53,25,62,4.1,Asia
30,Antique Vase,Electronics,3,466.31,1039.91,57,50,1.1,North America
31,Smartphone,Clothing,4,290.71,1301.02,4,38,3.8,Europe
32,Smart Thermostat,Books,4,298.77,1407.93,69,55,1.1,Europe
33,Winter Coat,Furniture,2,294.91,4291.75,58,13,4.3,Asia
34,E-Reader,Jewelry,2,135.31,1559.1,29,54,3.7,North America
35,LED TV,Clothing,3,375.53,4598.75,75,26,3.8,North America
36,Baby Stroller,Furniture,1,32.82,1819.37,87,45,3.5,Africa
37,Coffee Maker,Art,1,396.52,1601.74,71,39,4.6,Africa
38,Canvas Painting,Jewelry,1,413.67,4433.06,45,48,4.6,Australia
39,Diamond Ring,Electronics,2,490.25,701.8,10,26,2.1,Australia
40,Desk Lamp,Clothing,3,330.96,211.83,49,35,3.2,Europe
41,Smartwatch,Jewelry,2,477.99,3589.91,89,9,3.7,South America
42,Portable Charger,Electronics,4,366.46,212.82,34,67,2.9,Europe
43,Smartphone,Electronics,3,417.89,4233.63,98,47,3.8,South America
44,Board Game,Clothing,3,473.83,4598.43,74,53,2.4,Africa
45,Bluetooth Speaker,Furniture,3,70.27,589.47,41,49,2.0,Europe
46,Canvas Painting,Furniture,3,51.28,3937.73,41,57,3.3,Africa
47,Bookshelf,Jewelry,4,211.63,4814.53,76,3,4.6,Asia
48,Smartwatch,Books,3,419.85,4463.45,53,20,1.4,Asia
49,Camera Lens,Art,1,343.89,823.88,48,31,4.4,Europe
50,Winter Coat,Furniture,1,470.43,4270.91,2,18,1.1,Asia
51,Tablet,Clothing,4,331.81,3907.92,19,25,4.2,South America
52,Desk Lamp,Art,3,311.58,3913.74,93,16,1.8,Africa
53,Coffee Maker,Jewelry,4,177.24,1691.74,85,49,3.5,Asia
54,Luggage Set,Clothing,3,102.97,289.49,96,71,2.5,Australia
55,Canvas Painting,Electronics,2,400.29,1234.84,35,30,2.7,North America
56,LED TV,Jewelry,4,122.8,240.75,63,67,2.6,South America
57,Smartwatch,Electronics,3,69.94,3720.83,62,47,3.6,Europe
58,Desk Lamp,Furniture,2,207.05,656.76,85,37,3.7,Australia
59,Tablet,Clothing,2,179.33,602.06,21,55,1.4,South America
60,Desk Lamp,Books,4,144.21,93.33,21,44,4.4,Australia
61,Sneakers,Art,1,306.57,2396.83,77,34,3.5,Australia
62,Collectible Coin,Books,2,101.97,4821.53,90,3,1.3,Europe
63,Board Game,Art,3,165.06,337.08,10,55,3.6,Africa
64,Electric Guitar,Electronics,4,14.66,3715.85,71,50,4.0,North America
65,E-Reader,Books,1,30.16,2100.47,58,7,3.0,Asia
66,Dog Bed,Art,3,86.88,1915.09,47,29,3.8,Asia
67,Wireless Headphones,Electronics,3,464.79,2539.59,61,1,1.7,Australia
68,Designer Handbag,Books,4,327.87,1065.3,85,25,1.5,South America
69,Vintage Watch,Jewelry,3,249.56,1561.71,12,56,2.2,South America
70,Cookware Set,Furniture,1,42.64,2368.27,20,65,4.1,Africa
71,Gaming Console,Books,2,280.65,252.87,9,26,1.7,Europe
72,Canvas Painting,Clothing,3,438.46,4492.78,52,69,4.7,Africa
73,Bluetooth Speaker,Books,4,383.58,141.88,53,35,4.2,Europe
74,Smartphone,Clothing,4,292.47,1947.2,89,60,3.6,Asia
75,Board Game,Clothing,4,462.82,2013.92,45,48,2.7,Africa
76,Winter Coat,Art,4,290.56,2220.7,21,42,2.3,North America
77,Robot Vacuum,Jewelry,2,432.03,977.92,5,12,4.1,Asia
78,Bookshelf,Furniture,1,217.89,4362.36,90,40,4.4,South America
79,Tablet,Art,4,59.95,3176.02,81,45,2.5,Europe
80,Collectible Coin,Clothing,4,458.92,1901.53,61,62,2.4,North America
81,Dog Bed,Books,1,250.08,3499.46,98,5,4.7,Australia
82,Electric Guitar,Furniture,4,434.08,1388.62,92,2,3.1,Asia
83,Luggage Set,Electronics,2,142.51,2054.5,68,40,1.6,North America
84,Laptop,Electronics,3,317.39,973.26,63,3,2.9,Africa
85,Luggage Set,Art,1,184.48,1687.09,91,57,2.5,North America
